Date,Open,High,Low,Close,Adj Close,Volume
2015-06-22,43800,44150,43550,43850,40949.91797,2843715
2015-06-23,44350,44600,44000,44150,41230.07422,2676531
2015-06-24,44250,44250,43150,43350,40482.98047,2694795
2015-06-25,43100,43400,42800,43100,40249.51953,3270655
2015-06-26,41550,42250,41550,42000,39222.26953,7935060
2015-06-29,41000,43050,40600,42600,39782.58594,4892150
2015-06-30,42650,42800,41950,42300,39502.42969,2598797
2015-07-01,42800,43200,42250,42800,39969.35547,2126825
2015-07-02,43000,43000,42000,42100,39315.65625,2592544
2015-07-03,42700,43100,42200,42650,39829.28125,2903385
2015-07-06,42000,42050,40350,40750,38054.9375,4533535
2015-07-07,41200,41850,41000,41350,38615.25391,3183795
2015-07-08,41100,41300,40750,40900,38195.01953,3335846
2015-07-09,40400,41050,39600,40950,38241.71484,3018029
2015-07-10,41250,41300,40350,40850,38148.32422,2738522
2015-07-13,41450,41850,40500,40550,37868.16797,3707444
2015-07-14,40600,40650,37800,37850,35346.73438,15180511
2015-07-15,38400,39400,38350,39300,36700.83594,8281669
2015-07-16,39000,39500,38650,39450,36840.91797,2373825
2015-07-17,39500,40500,38700,39950,37307.84766,3352178
2015-07-20,40150,40350,38650,38650,36093.82422,2535208
2015-07-21,38950,39350,38500,39050,36467.36719,2531422
2015-07-22,39000,39000,37750,38200,35673.58984,3986610
2015-07-23,40000,40300,38600,39000,36420.67578,8215778
2015-07-24,39250,39450,38500,38550,36000.44141,3411382
2015-07-27,38500,38850,36850,37250,34786.41406,4142170
2015-07-28,36500,37650,36500,37100,34646.33594,3657208
2015-07-29,37450,37600,36800,37000,34552.94922,3040352
2015-07-30,36550,36800,34050,34500,32218.28906,9328208
2015-07-31,34800,37100,34750,37100,34646.33594,7074785
2015-08-03,36500,37100,35500,35950,33572.39453,5481242
2015-08-04,35450,37950,35450,37250,34786.41406,4060733
2015-08-05,37850,38300,37000,37300,34833.10938,3330999
2015-08-06,37750,37750,36050,36100,33712.47656,3888988
2015-08-07,35650,36450,35050,36200,33805.85938,3381532
2015-08-10,36200,36400,35750,36300,33899.24609,1336480
2015-08-11,36300,37200,36100,36100,33712.47656,2890084
2015-08-12,35600,36400,35400,35800,33432.3125,2824462
2015-08-13,35900,36900,35850,36900,34459.56641,2748437
2015-08-14,36900,36900,36900,36900,34459.56641,0
2015-08-17,37300,37400,35650,35650,33292.23828,3808016
2015-08-18,35800,36400,34700,35050,32731.91602,4706366
2015-08-19,34500,34800,32650,33000,30817.49609,8813242
2015-08-20,33050,33550,32850,33050,30864.19141,4588759
2015-08-21,31400,32250,31400,32000,29883.63477,6084203
2015-08-24,31600,32350,30300,31050,28996.46289,8593829
2015-08-25,31300,33950,31300,33500,31284.42969,11821629
2015-08-26,33500,34200,32850,33450,31237.73633,6534943
2015-08-27,34200,35500,34150,35500,33152.15234,7063277
2015-08-28,36550,37700,36300,36900,34459.56641,7382006
2015-08-31,36850,36850,35650,35800,33432.3125,4408499
2015-09-01,35150,35450,34200,34400,32124.90625,6442285
2015-09-02,33500,34600,33350,34350,32078.21094,4161070
2015-09-03,34350,35700,34350,35400,33058.76563,4222565
2015-09-04,35400,35950,34650,34850,32545.14844,2437386
2015-09-07,34800,35100,34300,34750,32451.75781,1624613
2015-09-08,35000,35100,34600,34750,32451.75781,1494929
2015-09-09,35800,36500,35650,36000,33619.08984,3035809
2015-09-10,35400,35950,35400,35950,33572.39453,3079224
2015-09-11,35450,35750,35000,35000,32685.22266,3242067
2015-09-14,35300,35450,34350,34600,32311.67969,2163452
2015-09-15,34500,34600,33350,33600,31377.81641,3880824
2015-09-16,33800,35350,33800,35100,32778.60938,3876376
2015-09-17,35750,36450,35350,36150,33759.16406,4734065
2015-09-18,36400,36450,35450,35750,33385.625,3267741
2015-09-21,35200,35250,34700,34800,32498.45313,2538367
2015-09-22,34900,35150,34700,34900,32591.83594,2004067
2015-09-23,34500,35250,34350,34700,32405.0625,1641929
2015-09-24,34900,34950,33600,33850,31611.2793,4172759
2015-09-25,33750,34400,33400,34350,32078.21094,2813254
2015-09-30,33700,33800,33350,33550,31331.12305,4158644
2015-10-01,33750,33950,33500,33700,31471.20117,3667742
2015-10-02,34200,34750,33800,34550,32264.98438,3052650
2015-10-05,35250,35950,35100,35350,33012.07422,4367169
2015-10-06,36300,37200,36250,37200,34739.72266,5944141
2015-10-07,37050,37700,36800,37300,34833.10938,3879936
2015-10-08,38000,38100,36600,37550,35066.57422,3824312
2015-10-12,37550,37550,36700,36850,34412.87109,2519174
2015-10-13,36800,37150,35800,36000,33619.08984,2961513
2015-10-14,36300,37050,35900,36400,33992.63281,3720738
2015-10-15,35950,36800,35850,36750,34319.48438,2943506
2015-10-16,36900,37050,36000,36100,33712.47656,1899386
2015-10-19,36150,36200,35600,35750,33385.625,1967828
2015-10-20,36000,36150,35250,35700,33338.92969,2686193
2015-10-21,35000,35000,33600,33650,31424.50586,9957394
2015-10-22,33200,33450,31850,31950,29836.93945,10914420
2015-10-23,32400,32950,32050,32100,29977.02148,6341772
2015-10-26,32350,33100,32300,32900,30724.10938,3326112
2015-10-27,32100,32650,32050,32150,30023.71289,3535671
2015-10-28,32150,32450,31400,31450,29370.00781,4322506
2015-10-29,31700,32150,31300,31450,29370.00781,4273016
2015-10-30,31150,31200,30450,30700,28669.60938,4640184
2015-11-02,30700,32250,30400,32150,30023.71289,4493014
2015-11-03,32500,33000,31550,31900,29790.24609,4453120
2015-11-04,32500,32700,32100,32600,30443.95117,3276995
2015-11-05,32350,32700,32200,32650,30490.64453,1928001
2015-11-06,32350,32400,31050,31200,29136.54492,5219855
2015-11-09,30900,31300,30400,31250,29183.23633,3563095
2015-11-10,30850,31350,30600,31150,29089.84961,2724051
2015-11-11,30700,31200,30550,31000,28949.77148,2898877
2015-11-12,30950,31000,30700,30700,28669.60938,1537585
2015-11-13,30500,31600,30500,31150,29089.84961,1962129
2015-11-16,30600,30950,30500,30500,28482.83789,2351453
2015-11-17,31050,31150,30600,30600,28576.22266,1935683
2015-11-18,30600,30800,30050,30550,28529.53125,3137103
2015-11-19,30800,31600,30700,31200,29136.54492,2525784
2015-11-20,31500,31750,31000,31000,28949.77148,2097039
2015-11-23,31150,31250,30600,30650,28622.91797,2430154
2015-11-24,30600,30850,30100,30200,28202.67969,3308696
2015-11-25,30400,32000,30400,31900,29790.24609,6941459
2015-11-26,32400,34150,32250,32750,30584.0293,13223992
2015-11-27,33200,33600,32000,32000,29883.63477,3890920
2015-11-30,32050,32650,31600,31600,29510.08789,3917877
2015-12-01,31650,31650,30900,31350,29276.62305,3752942
2015-12-02,31550,31900,31200,31200,29136.54492,2731791
2015-12-03,31050,31350,30850,31150,29089.84961,1730137
2015-12-04,30700,31450,30600,31200,29136.54492,2125421
2015-12-07,31450,31700,30700,30700,28669.60938,2238378
2015-12-08,30500,30750,30050,30200,28202.67969,2483443
2015-12-09,30100,30550,30100,30250,28249.37305,1524501
2015-12-10,30200,30550,30050,30300,28296.06641,3145787
2015-12-11,30200,30550,29600,29850,27875.82617,2725258
2015-12-14,29000,29350,28550,29000,27082.04297,3669577
2015-12-15,29050,29600,28800,29400,27455.58789,2006190
2015-12-16,30050,30500,29900,30400,28389.44922,2601080
2015-12-17,30250,30550,29800,30250,28249.37305,2210682
